Наименование;Параметр;;;;;От;До;Среднее (Эпсилон);Количество чисел в диапазоне;;М(10);;D(10);;;H(x);
Количество учеников использующих ИС;8103;;;;;0;1000;500;11;55;4423,92;27500;7729034,914;2780,114191;-0,350286703;3,235060239;
Количество учеников использующих ИС;10000;;Min;0;;1001;2001;1501;12;180,12;;270360,12;;;-0,367067243;;
Количество учеников использующих ИС;2283;;Max;10000;;2002;3002;2502;14;350,28;;876400,56;;;-0,397110177;;
Количество учеников использующих ИС;6813;;Шаг;1000;;3003;4003;3503;14;490,42;;1717941,26;;;-0,397110177;;
Количество учеников использующих ИС;6522;;;;;4004;5004;4504;12;540,48;;2434321,92;;;-0,367067243;;
Количество учеников использующих ИС;6449;;Формула рандома;7492;;5005;6005;5505;4;220,2;;1212201;;;-0,185754248;;
Количество учеников использующих ИС;3855;;От;0;;6006;7006;6506;12;780,72;;5079364,32;;;-0,367067243;;
Количество учеников использующих ИС;0;;До;10000;;7007;8007;7507;6;450,42;;3381302,94;;;-0,243533621;;
Количество учеников использующих ИС;7920;;;;;8008;9008;8508;7;595,56;;5067024,48;;;-0,268555089;;
Количество учеников использующих ИС;1292;;;;;9009;10009;9509;8;760,72;;7233686,48;;;-0,291508495;;
Количество учеников использующих ИС;1613;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;7727;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3160;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;7901;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;710;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;6745;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2156;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3992;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;763;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;9148;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;7349;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3361;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;6454;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4345;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3091;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2297;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;1202;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4712;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3985;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2561;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4964;;;;;;;;;;;;;;;;
